==> Starting concretization pool with 16 processes
==> Environment concretized in 34.60 seconds.
==> Concretized bacio@2.4.1
[+]  3tq3ucx  bacio@2.4.1%clang@15.0.7~ipo+pic build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r          ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  et3gdzp      ^m4@1.4.19%clang@15.0.7+sigsegv build_system=autotools patches=9dc5fbd,bfdffa7 arch=linux-ubuntu20.04-x86_64
[+]  ivwe6w3          ^libsigsegv@2.13%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4      ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7          ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  67euane          ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  vtofipc          ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53              ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv                  ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n                      ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd          ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64

==> Concretized crtm@2.3.0
[+]  hxutque  crtm@2.3.0%clang@15.0.7~fix~ipo build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64
[+]  pu2xhtk      ^cmake@3.25.1%clang@15.0.7~doc+ncurses+ownlibs~qt build_system=generic build_type=Release arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv          ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n              ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl          ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz              ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4              ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7                  ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  67euane                  ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  vtofipc                  ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53                      ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd              ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  tkz2pdz      ^git-lfs@3.1.2%clang@15.0.7 build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  ubdfv7w          ^git@2.39.1%clang@15.0.7+man+nls+perl+subtree~svn~tcltk build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  opma3o4              ^autoconf@2.69%clang@15.0.7 build_system=autotools patches=35c4492,7793209,a49dd5b arch=linux-ubuntu20.04-x86_64
[+]  bmqshzb              ^automake@1.16.5%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  xfhduny              ^curl@7.87.0%clang@15.0.7~gssapi~ldap~libidn2~librtmp~libssh~libssh2~nghttp2 build_system=autotools libs=shared,static tls=openssl arch=linux-ubuntu20.04-x86_64
[+]  jcgfi6e              ^expat@2.5.0%clang@15.0.7+libbsd build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  imz4bbm                  ^libbsd@0.11.7%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  s3c22ga                      ^libmd@1.0.4%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4j2zi2g              ^gettext@0.21.1%clang@15.0.7+bzip2+curses+git~libunistring+libxml2+tar+xz build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  j4rvf4k                  ^libxml2@2.10.3%clang@15.0.7~python build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  elvnmlv                  ^tar@1.34%clang@15.0.7 build_system=autotools zip=pigz arch=linux-ubuntu20.04-x86_64
[+]  ugsygwf                      ^pigz@2.7%clang@15.0.7 build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  w6wbjeb                      ^zstd@1.5.2%clang@15.0.7+programs build_system=makefile compression=none libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  a7kwmm6                  ^xz@5.2.7%clang@15.0.7~pic build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r              ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  jo6noeu              ^libidn2@2.3.4%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  2zvjsvq                  ^libunistring@1.1%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  vtdlvou              ^libtool@2.4.7%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  et3gdzp              ^m4@1.4.19%clang@15.0.7+sigsegv build_system=autotools patches=9dc5fbd,bfdffa7 arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo                  ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ivwe6w3                  ^libsigsegv@2.13%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  rfe3pcv              ^openssh@9.1p1%clang@15.0.7+gssapi build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  qukjms2                  ^krb5@1.20.1%clang@15.0.7+shared build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  w7cbf34                      ^bison@3.8.2%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  7j2c37n                  ^libedit@3.1-20210216%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4eofpuu                  ^libxcrypt@4.4.33%clang@15.0.7~obsolete_api build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  f3ddth7              ^pcre2@10.42%clang@15.0.7~jit+multibyte build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  qvi7cuj          ^go@1.19.5%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  4ud6ios              ^go-bootstrap@1.4-bootstrap-20171003%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64

==> Concretized ecbuild@3.6.5
[+]  oriprvf  ecbuild@3.6.5%clang@15.0.7~ipo build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64
[+]  pu2xhtk      ^cmake@3.25.1%clang@15.0.7~doc+ncurses+ownlibs~qt build_system=generic build_type=Release arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv          ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n              ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl          ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz              ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4      ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7          ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  67euane          ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo              ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r                  ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  vtofipc          ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53              ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd          ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64

==> Concretized eccodes@2.25.0
[+]  z4xoypp  eccodes@2.25.0%clang@15.0.7~aec~fortran~ipo~memfs~netcdf~openmp~png~pthreads+shared~tools build_system=cmake build_type=RelWithDebInfo definitions=auto jp2k=openjpeg samples=auto arch=linux-ubuntu20.04-x86_64
[+]  pu2xhtk      ^cmake@3.25.1%clang@15.0.7~doc+ncurses+ownlibs~qt build_system=generic build_type=Release arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv          ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n              ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl          ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz              ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4              ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7                  ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  67euane                  ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo                      ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r                          ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  vtofipc                  ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53                      ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd              ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  76hcxyy      ^openjpeg@2.3.1%clang@15.0.7~codec~ipo build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64

==> Concretized ecflow@5.8.3
[+]  udm7qbc  ecflow@5.8.3%clang@15.0.7~ipo+ssl~static_boost~ui build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64
[+]  kyrvyqy      ^boost@1.80.0%clang@15.0.7~atomic+chrono~clanglibcpp~container~context~contract~coroutine+date_time~debug+exception~fiber+filesystem~graph~graph_parallel~icu~iostreams~json~locale~log~math~mpi+multithreaded~nowide~numpy~pic+program_options+python~random+regex+serialization+shared~signals~singlethreaded~stacktrace+system~taggedlayout+test+thread+timer~type_erasure~versionedlayout~wave build_system=generic cxxstd=98 patches=a440f96,b8569d7 visibility=hidden arch=linux-ubuntu20.04-x86_64
[+]  pu2xhtk      ^cmake@3.25.1%clang@15.0.7~doc+ncurses+ownlibs~qt build_system=generic build_type=Release arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv          ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl      ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz          ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4          ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7              ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd          ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  dqbxh6g      ^py-numpy@1.24.1%clang@15.0.7+blas+lapack build_system=python_pip patches=873745d arch=linux-ubuntu20.04-x86_64
[+]  fwcet7k          ^openblas@0.3.21%clang@15.0.7~bignuma~consistent_fpcsr+fortran~ilp64+locking+pic+shared build_system=makefile patches=d3d9b15 symbol_suffix=none threads=none arch=linux-ubuntu20.04-x86_64
[+]  qjig7yr          ^py-cython@0.29.32%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  izu6rhy          ^py-wheel@0.37.1%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  sh2twxs      ^py-pip@22.2.2%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  e53n4ff      ^py-setuptools@63.0.0%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  lylyaf4      ^python@3.10.8%clang@15.0.7+bz2+crypt+ctypes+dbm~debug+libxml2+lzma~nis~optimizations+pic+pyexpat+pythoncmd+readline+shared+sqlite3+ssl~tkinter+uuid+zlib build_system=generic patches=0d98e93,7d40923,f2fd060 arch=linux-ubuntu20.04-x86_64
[+]  67euane          ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo              ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  jcgfi6e          ^expat@2.5.0%clang@15.0.7+libbsd build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  imz4bbm              ^libbsd@0.11.7%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  s3c22ga                  ^libmd@1.0.4%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  vtofipc          ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4j2zi2g          ^gettext@0.21.1%clang@15.0.7+bzip2+curses+git~libunistring+libxml2+tar+xz build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r              ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  j4rvf4k              ^libxml2@2.10.3%clang@15.0.7~python build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  elvnmlv              ^tar@1.34%clang@15.0.7 build_system=autotools zip=pigz arch=linux-ubuntu20.04-x86_64
[+]  ugsygwf                  ^pigz@2.7%clang@15.0.7 build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  w6wbjeb                  ^zstd@1.5.2%clang@15.0.7+programs build_system=makefile compression=none libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  2hl44of          ^libffi@3.4.3%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4eofpuu          ^libxcrypt@4.4.33%clang@15.0.7~obsolete_api build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n          ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53          ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  zxexlww          ^sqlite@3.40.1%clang@15.0.7+column_metadata+dynamic_extensions+fts~functions+rtree build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  35uv7fp          ^util-linux-uuid@2.38.1%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  a7kwmm6          ^xz@5.2.7%clang@15.0.7~pic build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64

==> Concretized eckit@1.19.0
[+]  zjqdwts  eckit@1.19.0%clang@15.0.7+admin+aio~curl~ipo~jemalloc+mpi+sql~ssl+tools+unicode+xxhash build_system=cmake build_type=RelWithDebInfo compression=none linalg=none arch=linux-ubuntu20.04-x86_64
[+]  w7cbf34      ^bison@3.8.2%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo          ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r              ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  et3gdzp          ^m4@1.4.19%clang@15.0.7+sigsegv build_system=autotools patches=9dc5fbd,bfdffa7 arch=linux-ubuntu20.04-x86_64
[+]  ivwe6w3              ^libsigsegv@2.13%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4          ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7              ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  67euane              ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  vtofipc              ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53                  ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd              ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  pu2xhtk      ^cmake@3.25.1%clang@15.0.7~doc+ncurses+ownlibs~qt build_system=generic build_type=Release arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl          ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz              ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  oriprvf      ^ecbuild@3.6.5%clang@15.0.7~ipo build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64
[+]  enw5uf2      ^flex@2.6.3%clang@15.0.7+lex~nls build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  2mpgl6r          ^findutils@4.9.0%clang@15.0.7 build_system=autotools patches=440b954 arch=linux-ubuntu20.04-x86_64
[+]  45pfscj      ^mpich@4.0.2%clang@15.0.7~argobots~cuda+fortran+hwloc+hydra+libxml2+pci~rocm+romio~slurm~two_level_namespace~vci~verbs~wrapperrpath build_system=autotools datatype-engine=auto device=ch4 netmod=ofi patches=d4c0e99 pmi=pmi arch=linux-ubuntu20.04-x86_64
[+]  5muqzwl          ^hwloc@2.9.0%clang@15.0.7~cairo~cuda~gl~libudev+libxml2~netloc~nvml~oneapi-level-zero~opencl+pci~rocm build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  spv6rtt          ^libfabric@1.16.1%clang@15.0.7~debug~kdreg build_system=autotools fabrics=sockets,tcp,udp arch=linux-ubuntu20.04-x86_64
[+]  kp5bach          ^libpciaccess@0.16%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  vtdlvou              ^libtool@2.4.7%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  44rsghw              ^util-macros@1.19.3%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  j4rvf4k          ^libxml2@2.10.3%clang@15.0.7~python build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  a7kwmm6              ^xz@5.2.7%clang@15.0.7~pic build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n          ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  kungleq          ^yaksa@0.2%clang@15.0.7~cuda~rocm build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  opma3o4              ^autoconf@2.69%clang@15.0.7 build_system=autotools patches=35c4492,7793209,a49dd5b arch=linux-ubuntu20.04-x86_64
[+]  bmqshzb              ^automake@1.16.5%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  lylyaf4              ^python@3.10.8%clang@15.0.7+bz2+crypt+ctypes+dbm~debug+libxml2+lzma~nis~optimizations+pic+pyexpat+pythoncmd+readline+shared+sqlite3+ssl~tkinter+uuid+zlib build_system=generic patches=0d98e93,7d40923,f2fd060 arch=linux-ubuntu20.04-x86_64
[+]  jcgfi6e                  ^expat@2.5.0%clang@15.0.7+libbsd build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  imz4bbm                      ^libbsd@0.11.7%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  s3c22ga                          ^libmd@1.0.4%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4j2zi2g                  ^gettext@0.21.1%clang@15.0.7+bzip2+curses+git~libunistring+libxml2+tar+xz build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  elvnmlv                      ^tar@1.34%clang@15.0.7 build_system=autotools zip=pigz arch=linux-ubuntu20.04-x86_64
[+]  ugsygwf                          ^pigz@2.7%clang@15.0.7 build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  w6wbjeb                          ^zstd@1.5.2%clang@15.0.7+programs build_system=makefile compression=none libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  2hl44of                  ^libffi@3.4.3%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4eofpuu                  ^libxcrypt@4.4.33%clang@15.0.7~obsolete_api build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  zxexlww                  ^sqlite@3.40.1%clang@15.0.7+column_metadata+dynamic_extensions+fts~functions+rtree build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  35uv7fp                  ^util-linux-uuid@2.38.1%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv      ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64

==> Concretized eigen@3.4.0
[+]  gjvxpsx  eigen@3.4.0%clang@15.0.7~ipo build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64
[+]  pu2xhtk      ^cmake@3.25.1%clang@15.0.7~doc+ncurses+ownlibs~qt build_system=generic build_type=Release arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv          ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n              ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl          ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz              ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4              ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7                  ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  67euane                  ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo                      ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r                          ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  vtofipc                  ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53                      ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd              ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64

==> Concretized flex@2.6.4
[+]  zf47rol  flex@2.6.4%clang@15.0.7+lex~nls build_system=autotools patches=f8b85a0 arch=linux-ubuntu20.04-x86_64
[+]  opma3o4      ^autoconf@2.69%clang@15.0.7 build_system=autotools patches=35c4492,7793209,a49dd5b arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4          ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
